gene,logFC,p_value,adj_p_value
SFRP4,-4.73806111,4.34e-79,1.08e-74
NOX4,-2.6722711,3.61e-65,4.49e-61
COL4A4,-2.12223896,1.5699999999999998e-54,1.3e-50
COL8A1,-3.3312138,3.14e-50,1.9499999999999997e-46
COL4A1,-1.48041916,2.1e-48,1.04e-44
PXDN,-1.61697663,1.2299999999999999e-46,5.1000000000000005e-43
P4HA3,-2.54592271,1.72e-46,6.090000000000001e-43
ADAMTS18,-2.52242297,3.85e-46,1.1899999999999998e-42
CR1,-2.22745274,1.2e-45,3.32e-42
COL6A3,-1.51928913,2.11e-44,5.23e-41
A2M,-1.0267389,1.5499999999999998e-42,3.5e-39
CD93,-1.22708091,1.8699999999999998e-42,3.87e-39
SLC1A3,-1.04662845,6.04e-42,1.15e-38
SERPINE1,-3.42970049,2.49e-41,4.41e-38
LINC00968,-2.1648502,2.8499999999999997e-41,4.71e-38
MFRP,-1.82587508,1.81e-40,2.65e-37
C1QTNF5,-1.82587508,1.81e-40,2.65e-37
PRSS23,-1.68417851,2.3299999999999997e-40,3.21e-37
SRD5A2,-3.14316667,3.3e-39,4.31e-36
SYT11,-0.87664958,1.02e-38,1.2600000000000001e-35
PENK-AS1,-1.99618402,3.51e-38,3.98e-35
GEM,-1.21508463,3.5299999999999997e-38,3.98e-35
C1QB,-2.04480275,1.47e-37,1.59e-34
SULF1,-2.35619069,1.6300000000000001e-37,1.68e-34
KCNE4,-1.74189238,3.5500000000000003e-37,3.5299999999999997e-34
MIR4435-2HG,-1.42292832,3.7400000000000004e-37,3.57e-34
NR2F1-AS1,-1.17664616,1.79e-36,1.6e-33
SPAG17,1.53344064,1.8e-36,1.6e-33
IGF1,-1.46347599,2.3e-36,1.9700000000000002e-33
LOC107986413,-1.03397846,1.3500000000000001e-35,1.1200000000000001e-32
CMKLR1,-1.18298002,1.82e-35,1.41e-32
EFEMP1,-0.92062399,1.7700000000000002e-35,1.41e-32
SERPINE2,-1.9706074,1.93e-35,1.45e-32
CCN2,-2.18803938,2.08e-35,1.52e-32
IGFBP7,-0.8721561,4.6700000000000004e-35,3.32e-32
LAMB1,-0.56926414,4.98e-35,3.44e-32
C1QC,-1.60745222,9.27e-35,6.22e-32
IGHM,-4.97355453,9.570000000000001e-35,6.25e-32
GASK1B-AS1,-0.9017787,1.1e-34,7.000000000000001e-32
NEDD9,-0.7314623,1.32e-34,8.21e-32
GASK1B,-1.03629958,1.4499999999999999e-34,8.760000000000001e-32
CHN1,-1.26232149,3.4199999999999997e-34,2.0200000000000003e-31
F2RL2,-1.2579896,5.37e-34,3.1e-31
PITPNC1,-0.69554596,5.51e-34,3.1100000000000003e-31
CPXM1,-2.15246842,1.92e-33,1.04e-30
TCF23,-2.66507769,1.92e-33,1.04e-30
LUZP2,-2.54077909,2.15e-33,1.14e-30
SCG2,-3.02344594,2.77e-33,1.4299999999999999e-30
CFI,-0.99330127,3.39e-33,1.72e-30
TGFBR2,-0.71653916,1.45e-32,7.18e-30
THBS1,-2.45515344,1.85e-32,9.01e-30
ENHO,1.60183188,2.44e-32,1.1600000000000001e-29
SLCO2B1,-1.26789744,3.11e-32,1.46e-29
THY1,-1.69448009,5.44e-32,2.5000000000000002e-29
ENPP2,-0.84868149,5.680000000000001e-32,2.56e-29
LOC101928214,-1.41767141,1.52e-31,6.73e-29
C4B,-1.65920361,3.3300000000000003e-31,1.43e-28
STARD8,-0.9478496,3.32e-31,1.43e-28
NRP1,-0.6380458,3.48e-31,1.46e-28
CDH11,-1.46342578,8.34e-31,3.45e-28
LAIR1,-1.42178154,1.11e-30,4.52e-28
PAPSS2,-0.87452252,1.1799999999999999e-30,4.74e-28
C1QA,-1.4547574,1.68e-30,6.62e-28
ADAMTS12,-1.47264397,1.89e-30,7.31e-28
TNFSF18,-3.40619646,2.22e-30,8.5e-28
MME,-1.503449,2.27e-30,8.53e-28
LOC101928152,-1.28161491,3.41e-30,1.2600000000000001e-27
ADAM12,-2.19022768,4.2199999999999995e-30,1.5400000000000002e-27
LILRB4,-1.86644665,7.439999999999999e-30,2.68e-27
CYP4A22,1.16289173,1.0500000000000001e-29,3.72e-27
CYP4Z1,1.24951548,1.3e-29,4.5400000000000005e-27
C4A,-1.59748885,1.66e-29,5.7100000000000006e-27
ADCY2,0.85246822,2.3000000000000002e-29,7.84e-27
CD209,-1.4736239,2.58e-29,8.650000000000001e-27
PDE1A,-1.27251132,2.93e-29,9.690000000000001e-27
MS4A7,-1.47063432,3.15e-29,1.0300000000000001e-26
OSMR,-0.78977263,3.71e-29,1.2e-26
ASPN,-1.5953384,9.17e-29,2.9200000000000003e-26
IGFBP7-AS1,-0.92717045,9.37e-29,2.94e-26
FNDC1,-2.69227609,1.02e-28,3.1400000000000003e-26
MMP19,-0.64158535,1.02e-28,3.1400000000000003e-26
LRRC32,-1.410507,2.0099999999999999e-28,6.09e-26
PAPPA,-1.12632153,2.31e-28,6.91e-26
HMCN1,-1.14758836,2.47e-28,7.3e-26
IGKV4-1,-5.19644659,3.12e-28,9.100000000000001e-26
A2M-AS1,-0.82116008,3.65e-28,1.05e-25
RAB31,-1.0150977,5.35e-28,1.53e-25
NNMT,-1.60892337,6.88e-28,1.94e-25
LHFPL2,-0.86231928,7.1e-28,1.98e-25
TGM2,-2.41498901,7.979999999999999e-28,2.2e-25
IGFBP4,-1.23129383,8.93e-28,2.44e-25
VWF,-0.97442246,1.09e-27,2.94e-25
PECAM1,-0.70512418,1.18e-27,3.14e-25
LGMN,-0.87037303,1.41e-27,3.72e-25
CYTOR,-1.33795231,1.89e-27,4.94e-25
CYP7B1,-0.60601626,1.96e-27,5.07e-25
